Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
Say Brother,,,video recording identifier,228050,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 8,,,,,,,,,,local,Original footage,general,,,,barcode228050.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228049,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 9,,,,,,,,,,local,Original footage,general,,,,barcode228049.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228036,SAY BROTHER (General Series),,,,,,1968-07-15,"""Good News"" Gospel group @ Shiloh Baptist",,,,,,,,,,local,Original footage,general,,,,barcode228036.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228039,Will Roxbury Secede,,,,,,1986-03-20,Councilor Bruce Bolling interview re: Roxbury secession 1986 pt 1,,,,,,,,,,local,Original footage,general,,,,barcode228039.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228038,SAY BROTHER (General Series),,,,,,1968-07-15,1983 Boston Mayor visuals - exteriors of Mel King and Ray Flynn headquarters,,,,,,,,,,local,Original footage,general,,,,barcode228038.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228037,SAY BROTHER (General Series),,,,,,1968-07-15,"""Good News"" - Shiloh Baptist Church",,,,,,,,,,local,Original footage,general,,,,barcode228037.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229498,Malcolm X,,,,,,1974-02-20,"Malcolm X hats and apparel , B-Roll of people, Downtown Boston.",,,,,,,,,,local,Original footage,general,,,,barcode229498.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229500,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 1.",,,,,,,,,,local,Original footage,general,,,,barcode229500.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229477,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 2.",,,,,,,,,,local,Original footage,general,,,,barcode229477.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229497,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 3.",,,,,,,,,,local,Original footage,general,,,,barcode229497.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229476,Malcolm X,,,,,,1974-02-20,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 1.",,,,,,,,,,local,Original footage,general,,,,barcode229476.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229499,Malcolm X,,,,,,1974-02-20,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 2.",,,,,,,,,,local,Original footage,general,,,,barcode229499.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229383,SAY BROTHER (General Series),,,,,,1968-07-15,"No Visible Means Of Support acapella performance in-studio, several takes.",,,,,,,,,,local,Original footage,general,,,,barcode229383.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,100164,SAY BROTHER (General Series),,,,,,1968-07-15,"1992. Carol Moseley-Braun. footage shot in Chicago. Tape opens with footage of St. Patricks Day parade in Chicago, brief shot of Bill Clinton marching in parade.Exteriors of First Baptist Church of Chicago; speech by Carol Moseley-Braun",,,,,,,,,,local,Original footage,general,,,,barcode100164.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,117067,SAY BROTHER (General Series),,,,,,1968-07-15,Ruth Batson interview on Black Institutions,,,,,,,,,,local,Original footage,general,,,,barcode117067.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229450,SAY BROTHER (General Series),,,,,,1968-07-15,"Robert Guillaume, performance singing",,,,,,,,,,local,Original footage,general,,,,barcode229450.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229449,SAY BROTHER (General Series),,,,,,1968-07-15,"interview Maurice White and Philip Bailey of Earth, Wind and Fire",,,,,,,,,,local,Original footage,general,,,,barcode229449.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229448,SAY BROTHER (General Series),,,,,,1968-07-15,"Earth, Wind, and Fire performance pt. 1",,,,,,,,,,local,Original footage,general,,,,barcode229448.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,229446,SAY BROTHER (General Series),,,,,,1968-07-15,"Earth, Wind, and Fire performance pt. 2",,,,,,,,,,local,Original footage,general,,,,barcode229446.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett's Victory Garden,,,video recording identifier,273402,Victory Garden 417,,,Instructional,,,1905-06-01,Original Footage of Bob Thompsons's introduction to Crockett's Victory Garden. Thompson does multiple takes.,,,,,"Agriculture and Farming, Gardening",,,,,local,Green Label Master (WGBH program),general,Instructional,,,barcode273402.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHK Music Project,,,video recording identifier,227939,Welcome to Austria,,,,,,,,,,,,,,,,,local,Radio program (Master),general,,,,barcode227939_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203070,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203070_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203071,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203071_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203072,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203075,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203075_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203073,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203073_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203074,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202923,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202923_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202921,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202921_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202922,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202920,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202920_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202918,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202918_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202919,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202916,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202916_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202915,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202915_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202914,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202917,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202917_01.wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203067,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203067_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203069,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203069_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203068,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203068_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203061,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203061_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203062,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203062_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203066,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203066_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,203063,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203063_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202907,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202907_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202912,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202912_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202910,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202910_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202909,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202909_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202913,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202913_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202897,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202897_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202899,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202899_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202898,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202898_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202900,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202900_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202901,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202901_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202902,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202902_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202903,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202903_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202904,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202904_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Aloud,,,video recording identifier,202905,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202905_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,297729,Hidden City (The),,,,,,1989-10-03,On Camera Interview about NYC water system,,,,,,,,,,local,Original footage,general,,,,barcode297729.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,297726,Hidden City (The),,,,,,1989-10-03,B Roll NY harbor - tug boat moving boat - ships,,,,,,,,,,local,Original footage,general,,,,barcode297726.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,297728,Hidden City (The),,,,,,1989-10-03,B Roll of a dam,,,,,,,,,,local,Original footage,general,,,,barcode297728.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,155561,Macleish,,,,,,,"77-3044-00-00-002 Macleish 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155561_01.wav,barcode155561_02.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,155551,Sam Allen,,,,,,,"77-3029-00-00-001 Sam Allen 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155551_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,155563,Herman Melville,,,,,,,"77-3047-00-00-001 Herman Melville 7"" Tim Sheldon",,,,,,,,,,local,Radio program (Master),general,,,,barcode155563_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,155545,Sylvia Plath,,,,,,,"77-3049-00-00-001 Sylvia Plath 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155545_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,155550,Sylvia Plath,,,,,,,"77-5000-00-00-001 Sylvia Plath 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155550_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider's Web,,,video recording identifier,155537,E.B. White: Charlotte's Web,,,,,,1905-05-30,"77-0124-00-26-002 Spider's Web Charlotte's Web #2 12/1977 Master 7"" reel 2 of 9",,,,,,,,,,local,Radio program (Master),general,,,,barcode155537_01.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,229832,Great Moments From NOVA (1993),,,,,,1993-12-07,523 Close/end montage,,,,,,,,,,local,Original footage,general,,,,barcode229832.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
