Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
Masterpiece Theatre,,,video recording identifier,144570,Crime and Punishment (General Season Record),,,,,,1980-10-19,104,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144570.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Voice, The",,,video recording identifier,144575,"NEW VOICE, THE",,,,,,,GENERIC PROMOS,,,,,,,,,,local,Promo,general,,,,barcode144575.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Garden,,,video recording identifier,144577,Victory Garden 612,,,,,,,,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144577.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,144578,,,,,,,,ORIG.FOR FALL VIEWER SPOTS,,,,,,,,,,local,Promo,general,,,,barcode144578.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,258161,"Christmas At Pops, A (1981)",,,,,,1905-06-03,CHRISTMAS AT POPS 1981,,,,,,,,,,local,Distribution dub,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race To Save The Planet,,,video recording identifier,90950,"Waste Not, Want Not",,,,,,,"WASTE NOT, WANT NOT/ IT NEEDS POLITICAL DECISIONS",,,,,"Environmental Science, Peoples of Southeast Asia, Peoples of Northern Europe, Politics and Government, Social Issues, Peoples of Southern Africa",,,,,local,PBS backup,general,,,,barcode90950.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,181664,Road to Empowerment: A Political Case Study,,,,,,1992-02-13,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181664.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,20588,"Teens, Sex and AIDS: Frankly Speaking",,,,,,1992-01-30,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode20588.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,181677,Remembering Brother Malcolm,,,,,,1992-11-26,(with new open),,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181677.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Group,,,video recording identifier,10986,Genetic Engineering,,,,,,1991-11-04,11/4/91 Genetic Engineering,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode10986.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Group,,,video recording identifier,11536,Repeat Offenders,,,,,,1993-10-12,10/12/93 Repeat Offenders,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11536.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Group,,,video recording identifier,11569,pope and morality,,,,,,1993-10-11,10/11/93 The Pope's Encyclical,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11569.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Group,,,video recording identifier,11570,Fall TV Season,,,,,,1993-10-13,10/13/93 The Fall TV Season,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11570.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,295315,Ten O'Clock News,,,,,,1982-12-06,"Collection of briefs, VOT/SOTs, and stories on: 1) Boston Herald American unions and sale to Rupert Murdoch; newspapers in sidewalk vending box, plant exterior, comments from employees. Interview with Australian journalist Nigel Wade, Michael Wheeler, Stephen Mindich. 2) Hotel workers union fights for better wages and benefits, threatens strike, gets settlement. Cooks, maid, doorman at work. Studio interview with Local 26 president Domenic Bozzotto.",,,,,,,,,,local,News Tape,general,,,,barcode295315.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,249383,Ten O'Clock News,,,,,,1989-03-21,"1) Operation Rescue prepares for protest at St. Agatha's Church in Milton. Mildred Jefferson, Bill Baird. Pro-choice march outside church. 2) Cocaine abuse among white collar people. 3) Aflatoxin - liver carcinogen produced by fungus on drought-affected corn. 4) Interview with Rep. Frank Hynes and Sen. Michael Barrett on legislators earning outside income. 5) Felicia Lamport verse on John Tower's dilemma. Anchors Lydon and Fields.
 
 Length: 27.38",,,,,,,,,,local,News Tape,general,,,,barcode249383.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,200927,Ten O'Clock News,,,,,,1976-01-01,"Failed GOP 1988 presidential candidates - Jack Kemp, two spots ""Oil Prices"" and ""Block the Cut"" by Campaign Consultants, Inc.",,,,,,,,,,local,News Tape,general,,,,barcode200927.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,230095,Peggy Lee,,,,,,,D,,,,,,,,,,local,Original recording,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,231648,Manhattan Transfer,,,Performance for a Live Audience,,,,"Orchestral performance of movie music. Songs performed include ""There's No Business Like Show Business,"" ""When You Wish Upon A Star,"" ""Moon River,"" and ""Somewhere Over The Rainbow.""",,,,,"Music, Performing Arts",,,,,local,Original recording,general,Performance for a Live Audience,,,barcode231648_01.wav,barcode231648_02.wav,barcode231648_03.wav,barcode231648_04.wav,barcode231648_05.wav,barcode231648_06.wav,barcode231648_07.wav,barcode231648_08.wav,barcode231648_09.wav,barcode231648_10.wav,barcode231648_11.wav,barcode231648_12.wav,barcode231648_13.wav,barcode231648_14.wav,barcode231648_15.wav,barcode231648_16.wav,barcode231648_17.wav,barcode231648_18.wav,barcode231648_19.wav,barcode231648_20.wav,barcode231648_21.wav,barcode231648_22.wav,barcode231648_23.wav,barcode231648_24.wav,barcode231648_25.wav,barcode231648_26.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
